name,dataset,split,image_source,mask_source,image_file,mask_file,image_sha256,mask_source_sha256,mask_sha256,rgb_pixels_sha256,image_hw,mask_hw,size_mismatch,binary_unit_mask_scaled,soft_mask,empty_mask,detail_sha256,trace_sha256
CASIA2__Tp_D_CNN_M_N_ani00052_ani00054_11130,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_M_N_ani00052_ani00054_11130.jpg,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_M_N_ani00052_ani00054_11130_gt.png,CASIA2__Tp_D_CNN_M_N_ani00052_ani00054_11130.jpg,CASIA2__Tp_D_CNN_M_N_ani00052_ani00054_11130.png,d1066ec9bf554834743010b37016852f1cd8e8ce9747b330defdd415a50ad22b,738efa39e4002c3868adc259d4791c4497e96ba23615251447bc495a23d1ba90,738efa39e4002c3868adc259d4791c4497e96ba23615251447bc495a23d1ba90,28af1b0b7abf5eded56a131a6551c7250e6ba54237e6d110b3e9c33d0ec4e54b,256x384,256x384,False,False,False,False,badf305c228096716f5080227e69311cc5d58381ff28225eb0397294c6c52891,733524e612c42c38972648f11af35f866c094c9be6714f00ccbb87ccbf7a4fc9
CASIA2__Tp_D_CNN_M_N_ani00057_ani00055_11149,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_M_N_ani00057_ani00055_11149.jpg,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_M_N_ani00057_ani00055_11149_gt.png,CASIA2__Tp_D_CNN_M_N_ani00057_ani00055_11149.jpg,CASIA2__Tp_D_CNN_M_N_ani00057_ani00055_11149.png,daa1c8fbd1534c57bc21ba9ab450bfd4baf5ccc5396f76058b2f5e3cc81a378a,655b1739cab3fee88c114e0fbb3dcfb30b9b76915c05e70567c78de29f0db939,655b1739cab3fee88c114e0fbb3dcfb30b9b76915c05e70567c78de29f0db939,8efe8b0efd592e297a5a369ada1c3d7cc8005c43d280afe1b8134d756be2ca2d,256x384,256x384,False,False,False,False,8c8ee48cd1c22942fb1bff5463cc81840698745e8cff3934b71c2750450f9fd4,a0ab7c76a0e5bd3a1dba0e8e3105e1de6fa1f7f95e852fa98e514c58c08cdac5
CASIA2__Tp_D_CNN_M_N_arc00086_xxx00001_00306,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_M_N_arc00086_xxx00001_00306.tif,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_M_N_arc00086_xxx00001_00306_gt.png,CASIA2__Tp_D_CNN_M_N_arc00086_xxx00001_00306.tif,CASIA2__Tp_D_CNN_M_N_arc00086_xxx00001_00306.png,08e2c8d279040e5f9875db359ba0bb249d4c8e2bdb1a4c0f05cbb2887e6d9723,30930b15518b247e0a936f064ec2f53c9076e663a277524ebd4b34acec7b38d4,30930b15518b247e0a936f064ec2f53c9076e663a277524ebd4b34acec7b38d4,9d5b7ec9af6d4c39a87e7fcb2f034c73b0334feef515b9b4af17beb32d65a103,256x384,256x384,False,False,False,False,f07b3d2b043610027d0bf2eddebd1f95f5f086736cb098e81f816e43e60bb4c0,62f7cb0270d1d26aef2f72052f74275bb2420463cf9a5883422f57a150614fcb
CASIA2__Tp_D_CNN_M_N_art00052_arc00030_11853,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_M_N_art00052_arc00030_11853.jpg,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_M_N_art00052_arc00030_11853_gt.png,CASIA2__Tp_D_CNN_M_N_art00052_arc00030_11853.jpg,CASIA2__Tp_D_CNN_M_N_art00052_arc00030_11853.png,28111234ea9d619f8fd369ae728af023224a9a69ae7a6408833bfb210c406ae4,da8005bb20b954f382adc909595cceadf83f46fd1dd2397718bc157410c7368c,da8005bb20b954f382adc909595cceadf83f46fd1dd2397718bc157410c7368c,d1baffec70b120c515781363c07ffa7a9f7bc8139a1fc7c4e94d06fc01abb556,256x384,256x384,False,False,False,False,1d0abc0d9acd5d2a705bbdba101279e42a91fa384a32e0b1cbc6fae7deca3f32,2223e4873806f18d8c2e5577432e1895ce14be5f59ff255e15658985742c7d97
CASIA2__Tp_D_CNN_M_N_cha00026_cha00028_11784,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_M_N_cha00026_cha00028_11784.jpg,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_M_N_cha00026_cha00028_11784_gt.png,CASIA2__Tp_D_CNN_M_N_cha00026_cha00028_11784.jpg,CASIA2__Tp_D_CNN_M_N_cha00026_cha00028_11784.png,c83f58ce16e73116695cda06d16312916374466edcbab280ed2a5a1de81f4699,aa7c275e8aa25d3baf5df12be8d4fb681cef95932280d6e4f8425c63c6505442,aa7c275e8aa25d3baf5df12be8d4fb681cef95932280d6e4f8425c63c6505442,045679c71994a18da1cbd182c65b8798aaf60df99e079534ca1e2e3495e4b164,384x256,384x256,False,False,False,False,ef9e1803a13d7dde038e1b6387fa9189ed4a685ee1e17a979fed7e0c800054e5,4713ecf1f472b693e627371edd8addc4744c0af153a29a912a29c9e4d415bf2a
CASIA2__Tp_D_CNN_M_N_nat00013_cha00042_11093,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_M_N_nat00013_cha00042_11093.jpg,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_M_N_nat00013_cha00042_11093_gt.png,CASIA2__Tp_D_CNN_M_N_nat00013_cha00042_11093.jpg,CASIA2__Tp_D_CNN_M_N_nat00013_cha00042_11093.png,ae64b53921f27a02e8b76ca83bfb363770cec9e2a576157e112907d7c7202d56,92f0680d8271c7fdd24337f0d3ae9d826d95bea08486cd4bb55d096f6fcd9d2b,92f0680d8271c7fdd24337f0d3ae9d826d95bea08486cd4bb55d096f6fcd9d2b,f88cb87ed3729c1010c4904c76acca5c8e7aff4e17fd8074c2f187b17271c1d9,256x384,256x384,False,False,False,False,62aa6070ea256c9a7ace9cb081a3777b05f63f5355cbb1ae8fcdbb07afcf335b,66e99e30615543537cc97ba29aafe09a8169a0eb81ccfb97f1a529ddba3c7e08
CASIA2__Tp_D_CNN_M_N_nat00041_nat10123_11439,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_M_N_nat00041_nat10123_11439.jpg,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_M_N_nat00041_nat10123_11439_gt.png,CASIA2__Tp_D_CNN_M_N_nat00041_nat10123_11439.jpg,CASIA2__Tp_D_CNN_M_N_nat00041_nat10123_11439.png,86cd5e4cc0d0d63c0edc044ce7a8999d3b185964220ef4207e0091f591b75880,7b6955a3a3dce4c53864c8e33016ab87063391b3a20d2998dfc8234dde5111bb,7b6955a3a3dce4c53864c8e33016ab87063391b3a20d2998dfc8234dde5111bb,a4ab413250868efd56ed554017ad45cd6b84e1baf433cafa1bf107dc7248bdf4,256x384,256x384,False,False,False,False,a0c454b9f974ce744b6c5772008f6abe95c36622d8c9bcb043027733f0d86187,b67c02a4b81f8f1a046b396e49df7a2c240887d9111eee4b6da6e5e6cf9efa2a
CASIA2__Tp_D_CNN_M_N_nat00089_nat00062_10577,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_M_N_nat00089_nat00062_10577.jpg,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_M_N_nat00089_nat00062_10577_gt.png,CASIA2__Tp_D_CNN_M_N_nat00089_nat00062_10577.jpg,CASIA2__Tp_D_CNN_M_N_nat00089_nat00062_10577.png,8ea50634f2346b795a3f0e1d15d7915b2cb4f8518ba41e6e218ecb852b4a22a4,0dc68ecfa6682b7f029b307a9fb63e4a8672e78424ecdc67cf2420692e58d151,0dc68ecfa6682b7f029b307a9fb63e4a8672e78424ecdc67cf2420692e58d151,303b394373c81d963c5200282ac834b9cd50b584cefa26329ec8046cf59c3e31,256x384,256x384,False,False,False,False,2ea93981246bbea7e02e774f62db405a9169d5124fa15cf56812588e26579cc2,22521c147d061e923dac9ab52473f4f960ab431e4e09122ee2838442ca5c6312
CASIA2__Tp_D_CNN_M_N_nat10139_nat00095_11947,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_M_N_nat10139_nat00095_11947.jpg,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_M_N_nat10139_nat00095_11947_gt.png,CASIA2__Tp_D_CNN_M_N_nat10139_nat00095_11947.jpg,CASIA2__Tp_D_CNN_M_N_nat10139_nat00095_11947.png,573381ce77f109582031f3f6c2a28ade2caf420c529a92e1c88c79cbb65b735f,49c8fcc1f52644bf49b1c24d4a598d63ca5e349e8d98b280e9983b2326e06529,49c8fcc1f52644bf49b1c24d4a598d63ca5e349e8d98b280e9983b2326e06529,b7fa639e622502d5283229159d0da954db28985b7428871216f7f9dd06ffbbce,480x640,480x640,False,False,False,False,216fe027755dd198e5a826096cabced6cfc12d03c9cd644630ec24e0c75b0f08,f2c3b19bddee4d35d1a95b54e40e85ea79749a926a0fbe7adc38d191c4e2b83c
CASIA2__Tp_D_CNN_M_N_nat10156_ani00024_12016,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_M_N_nat10156_ani00024_12016.jpg,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_M_N_nat10156_ani00024_12016_gt.png,CASIA2__Tp_D_CNN_M_N_nat10156_ani00024_12016.jpg,CASIA2__Tp_D_CNN_M_N_nat10156_ani00024_12016.png,89e39bd46a58295a00b686bdc7b2c6b6d12736bdbd6bc03f9615e140307b1323,e20d735dd2edf5a699e756f525305f309e93b094f77386f7f927f76374ab4db6,e20d735dd2edf5a699e756f525305f309e93b094f77386f7f927f76374ab4db6,23ef0314e879ef9a1dc0d47ca085535dfeaa740a6e02849a3d2927f4c57b3fc5,480x640,480x640,False,False,False,False,819a059ca6cffa115544e44e329ca4cf1d86ce16fb4a913b2f3581ec7ca03ccc,c9e284c377131ca7a5eadde4f48ba52c2736ef95869b03a0bb9d5cc9d804c0da
CASIA2__Tp_D_CNN_M_N_sec00011_cha00085_11227,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_M_N_sec00011_cha00085_11227.jpg,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_M_N_sec00011_cha00085_11227_gt.png,CASIA2__Tp_D_CNN_M_N_sec00011_cha00085_11227.jpg,CASIA2__Tp_D_CNN_M_N_sec00011_cha00085_11227.png,daa35a31b5685b59d69c8ba938db42e93eb5d55c02312c4825bd71b4c0ae2758,47a491ac327dea8f0c5285a6a436eacaebce231d771c5acb423699b9b864a17a,47a491ac327dea8f0c5285a6a436eacaebce231d771c5acb423699b9b864a17a,9346592e9646827defee3b539ca6aa254e5a942006d018790e74ae136a867c33,256x384,256x384,False,False,False,False,48ae733140fbfcf53882500e240f1d756a72bc62e286350827b566ae6509cd69,b4b6e3c38f98ea528914936fb11a59dd9cb203c12bc6b5028cb5824fc0cb15d2
CASIA2__Tp_D_CNN_M_N_sec10107_sec10101_10299,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_M_N_sec10107_sec10101_10299.tif,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_M_N_sec10107_sec10101_10299_gt.png,CASIA2__Tp_D_CNN_M_N_sec10107_sec10101_10299.tif,CASIA2__Tp_D_CNN_M_N_sec10107_sec10101_10299.png,0bcd44bf28f64003242439778ca33ef7baf673600e84fa8f2beefe9257816ac0,04e8dd9eecc88d396bca3465f05b18382d36043b00cdf0386f17fd191f0ebe46,04e8dd9eecc88d396bca3465f05b18382d36043b00cdf0386f17fd191f0ebe46,329922e8955ed7d5899b0756a3fcd0efaed70294a21ed82ff36d1b28ef4cd53b,160x240,160x240,False,False,False,False,16a8fc722799a8f1bd3dd3febad53cae49e32e5e1983a53755e02efeb298bb31,48a27030c29fd86f4328abc7928f1bacbdc1067cb57f1a6361ee136a69444df7
CASIA2__Tp_D_CNN_M_N_sec10110_sec10101_10298,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_M_N_sec10110_sec10101_10298.tif,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_M_N_sec10110_sec10101_10298_gt.png,CASIA2__Tp_D_CNN_M_N_sec10110_sec10101_10298.tif,CASIA2__Tp_D_CNN_M_N_sec10110_sec10101_10298.png,6c90d83eb4dfa6ea62f3287b0603c99029b12d9e394cb7e4c17a0603877401cb,4ebfea56c328f875bea1e0c77789250d2b1614af8aa5e5dc52bb08ae60852b30,4ebfea56c328f875bea1e0c77789250d2b1614af8aa5e5dc52bb08ae60852b30,8402273a1e8acc73ec0e5ef57c75e9ff76f36d4d342578dbdcfd93ead246162a,160x240,160x240,False,False,False,False,bb762aa9e5ef7d3f7fb7d5fc5f2e96e60c1324149806c7134514eddad7efdc07,a7a920f8b33018cf24eaf111fbfb842d37491d0eb7f145e6517014504e997257
CASIA2__Tp_D_CNN_M_N_txt00049_txt00050_10374,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_M_N_txt00049_txt00050_10374.tif,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_M_N_txt00049_txt00050_10374_gt.png,CASIA2__Tp_D_CNN_M_N_txt00049_txt00050_10374.tif,CASIA2__Tp_D_CNN_M_N_txt00049_txt00050_10374.png,7fc6b338a0d968f17f0ecc16676f2d4005009c805190677e87749825d18b84ea,f3103ce8af29bbe169d67bf7d42d853995f30562219067eafa5337ab8f850b66,f3103ce8af29bbe169d67bf7d42d853995f30562219067eafa5337ab8f850b66,09413ecf918c7f2182f91098c15bd625a099912309aaea9b3ab8170cdc047fdb,256x384,256x384,False,False,False,False,30cdb9e5851c120e2d1a102d6bdf18e67079152d4e0a28a4ce33a35033f0aeff,18ebbcd32da844bbd7278672253211c5416160943f49f8e99c5567647d52b07a
CASIA2__Tp_D_CNN_M_N_txt00054_txt00050_10375,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_M_N_txt00054_txt00050_10375.tif,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_M_N_txt00054_txt00050_10375_gt.png,CASIA2__Tp_D_CNN_M_N_txt00054_txt00050_10375.tif,CASIA2__Tp_D_CNN_M_N_txt00054_txt00050_10375.png,cce0904ec1c3074af62f25cc4e0ec3f55e9ccc2337f7ea2ba6247be1cdaaf77c,28a9cee355258d5102eae356cab51ae2139d04485dffe082eff93f3d665140a7,28a9cee355258d5102eae356cab51ae2139d04485dffe082eff93f3d665140a7,e52cd5aaf1ff54c4c195506a8345997ecdc5436c675825d709a4f1151350508f,256x384,256x384,False,False,False,False,b97e375cb2e68adebb8ab936529250baa0e01c3aaef9e6a1c55e5b82502d36d7,823a8e95d06e20ac8ac3d653c2d40f8d7a299976ad5846b8bfcdea5f3fa95aa3
CASIA2__Tp_D_CNN_M_N_txt10109_txt10110_10816,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_M_N_txt10109_txt10110_10816.jpg,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_M_N_txt10109_txt10110_10816_gt.png,CASIA2__Tp_D_CNN_M_N_txt10109_txt10110_10816.jpg,CASIA2__Tp_D_CNN_M_N_txt10109_txt10110_10816.png,38b041a2e274cf0e5e1c0ddc95a30360d391553d87487cde19987572726499bb,1f8918d48dd225185de7c662842f73a95036b699fb92ea3e05e34f0404226d0a,1f8918d48dd225185de7c662842f73a95036b699fb92ea3e05e34f0404226d0a,4d00dd02c146fb09066bb4690ef2437714965f45db6499eadb44b3042ae30233,500x375,500x375,False,False,False,False,5437aa5cbe44b385ba259e937dc9982a75d0a5723c49f9da5386f8f653d203ce,dcd7602942a9c58aa44bd72beae111a4a0cd0261258c6cbdccdd342767f62a03
CASIA2__Tp_D_CNN_S_B_art10110_cha10110_11564,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_S_B_art10110_cha10110_11564.jpg,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_S_B_art10110_cha10110_11564_gt.png,CASIA2__Tp_D_CNN_S_B_art10110_cha10110_11564.jpg,CASIA2__Tp_D_CNN_S_B_art10110_cha10110_11564.png,7e49a45a90236097bda55fd131ff40ec47334659c0d11b8fa9e256d13ddc5f81,c781b430f455eb507218eeaf74115331f4e34ef9940f1f398bf1e3b31cc5b878,c781b430f455eb507218eeaf74115331f4e34ef9940f1f398bf1e3b31cc5b878,557af817e6282a7eaf43738dfb61491682084076dc766cb3c32b488c1d7ebe6c,256x384,256x384,False,False,False,False,3f3a5726f68be7360fbf0720275ccda18dec58b79488259d9bfada68f4114b06,77a5a6245d63bd943383ace23092d59a19c3626ccfb8d2c6e5d0df2ea15d08e8
CASIA2__Tp_D_CNN_S_B_ind00018_ind00089_00007,CASIA2,train,/data1/data/datasets/CASIA2.0/Tp/Tp_D_CNN_S_B_ind00018_ind00089_00007.tif,/data1/data/datasets/CASIA2.0/Gt/Tp_D_CNN_S_B_ind00018_ind00089_00007_gt.png,CASIA2__Tp_D_CNN_S_B_ind00018_ind00089_00007.tif,CASIA2__Tp_D_CNN_S_B_ind00018_ind00089_00007.png,15c02de90d4f90e3f0281adc391b316de61bc66605342d0db9abbed627ae3939,b4ef145ddf6f93ec785f811a6ed91a44f8b85aee312a7bc8b6961d34520d7eaf,b4ef145ddf6f93ec785f811a6ed91a44f8b85aee312a7bc8b6961d34520d7eaf,f13481130c22acef6eec5901a871a6f83d17a6cf30bea856a17d45b4cd9a4281,256x384,256x384,False,False,False,False,762abf644692b8e05f8e10884516a566f7c30e7bfefb99d33d3a316b263f2d1b,99f779d37cbb494aa1fe66e61712588e2b3542cabc2f329ad84de0db21e87587
