stem,prefix,split,image_sha256,mask_sha256,rgb_pixels_sha256,image_hw,mask_hw,size_mismatch,empty_mask,soft_mask,detail_sha256,trace_sha256
BN (2561),BN,train,5f9ee884278e38d40017d0244114948f87fe3b2be616c1e8db9f2c3206da90b1,75256c47b7161bfb4094d9b30e3b5c420d18af0cfa87c574b2ace09baad43529,b8c1f570cdf77609df386f4249bfb22bbdf2fa7e5eb73761f57e8cbb7531c3d3,500x782,500x782,False,False,True,af39e38100b8b678e909fe62cd88e8f6e16e889372098edd21f8ab8bdc37c929,65c247b9bb0d5ace2810ce1aa757efcf7a63f6e2db5372e79780878246309e0d
BN (2562),BN,train,242d3156f5df69aba65c4da47a2b9b14635afd820a46ec00fadd84ac473d03a1,06c69b163598ce15a8c8ea38f18669694d7023621452fe506265f10cbf490037,06e8d040beb8b892bb9bb0224bfee3239c238d7f3e14302094689fe3ab087534,500x731,500x731,False,False,True,9b8bc36ca4fd88692248030e5d2508c98dc1152eff3b2f002858b8c0d8191b5b,f23ec68b82f3146ffe87d2592fea8adf2b440d3c531c595452b7732ebfb03470
BN (2563),BN,train,a0cbb4c9aff4486b8ba715e7c17b34f4da1288937ba22533152cfdc49c24e0a8,242f8304579bdf691247df88312b9a118d5cddb48449c03aaf267e4e1f525fcf,424da3e945400b2d54aad0237bc4c6a36c628b4c82414c3a00c4555443ab4c5f,667x500,667x500,False,False,True,82d6aff357259a0f2de4734660f915cb5f971e10ec933a4913345d4d0f963620,2c093d051e1d8524d761f22f23392c6ebe0445c9205912683da033c737cc7844
BN (2564),BN,train,8c7187a97d4e53df144b041fcc63c57bc492d89b3a3e523b6b81bb28c5f534f2,f720dd561751005e2c746d5b366dbd5dce4a372c68249937662419a4dc512799,b550ac86ee19d97365414ef306362d24a2677623bdab500193cf24f7e70d38fd,500x603,500x603,False,False,True,5ed1742583e41be7dd954f77ffe695514288f2d1b20414f71b578fe9c6689696,45d9185ddc6c959eb06270faca4e05bd2d61a08bf5643ac3a20ebc31566defc8
BN (2565),BN,train,eadbb4d586599e1284ade9aba7f2d466e7014564cfe4d5275ca15a6a014d5f3e,d26c814e8974475174bb4feced3979bd9ed05a8993afff9e3f6af876d2f37db8,b14c72bd69d9f2dd31cacea7a4c565e576e88346fedf5a0060d7a140c46ed08d,333x499,333x499,False,False,True,a98bc1d8de4934dd537675f90c4e7795cc014abe982458fc7848494e21f43835,faecdfe4e8c5aad793714d611194442918af7c5f5990a9907009580e4b20de68
BN (2566),BN,train,848b2c7ed1214d6923c01caa7e223c8da216c8678575a2a40832db2fdf49b200,8f17f1b9c382b818de86a9fc0bd3881c7d5f28a4949ada3b253903d044f92f52,b18b1e0af1950e111ae4a352b3c5041b835601fe7a735a00f8f11c3d9a159f9a,456x281,456x281,False,False,True,d66ca115799fbfb8d29e5ca8addfdd4825e66b71b7bd87b6df9046749532fc9d,89ad7641394d0c8252788ed24d1032710b4f372eacd7b3e0b261c01806232dad
BN (2567),BN,train,4cc9b352f3573f1acd4e1c29658fa68700c9abb7df62bd657acce0032a245036,f4e7d66c0fa101a93c8d5debcd5277e08dbaf35dfd65021da10bd8ac63ac2ae8,d3caa924e7d9aac2b3369e0357f97ee3200464b448763e6a98790435ff5a116a,500x803,500x803,False,False,True,51a880d8f91f2565d6ddd00bf8605eb633e009751500120dacf08eaa16220944,55f6e25762394a034ff022a10689ad7e0aa9385cfcbbd2dc38ca95a31f85d465
BN (2568),BN,train,8b60a139f8e3bcec41fe6f204cc26ae363ad879d381cad48bab679b804d544d9,63a2919512dd23c7c0f30637b681033ca23f494b5558661f50fe23d2e077e06a,7315840aa9f6afc957f9c661ef00a81e6605ffb327087fe3e232172ee58d3766,500x1007,500x1007,False,False,True,613ec91c3be42fcc2f5eef145101f343230b3383ce47717f19bc3122b08bbbae,689de45c9f168bf38021e49221259c6d167e7b548ab343ecef903a0fc0f9434c
BN (2569),BN,test,770277b6f647a6d1732735ad692435279df429e5403a600b623dedfabe5b94b0,f48484b9227a6fce2b33c2e10453c0ae0c30a4ddbd7f5eb2f7cdf682d55a9789,8871b13143191dc3164bc23f6b96863e46587026e5e035ecddf678201510e7d4,500x913,500x913,False,False,True,28b1565e9dfb352e18dbd54a46e94019786c4ccdb3c933914080cf4ebdb6eb7b,146bb55d8fa67e4e3313e93e680dfaebeffa75302f3591a53e6cd65b7ea80a34
BN (2570),BN,train,ea3b077aa27d046af3a7aab13d3c8906125632835961b1992d79b3d89d7a4b96,e661fd0f0caf7bcd8dcf144748828599b9000ec8335e7d2664b9351df4e6167a,f70c626d5896700881e5f0f7b2a4b2e0b48f489b042bd7f04eee1f73232134fc,434x750,434x750,False,False,True,8ea14ac5eb726c8dbc1a0ec1f50975b298c1822c51da731f93ff9cac4e516613,5a817e60c87d5061c7420a17229fde1ae1ab6ec93359174bcdf036bf0b44a4be
BN (2571),BN,train,600d1ed8470307b51d25300c2fc0240cdd47b2290ccbb4bf4192938d0a46e96c,440ea952b25fc502390ba7ed6607e1802e1d166d2e249b7827e10eddad42f1ba,19d88d1ce65c8cf30a81723f4ae8f110d9f878562cd9e03e0339205391186658,500x909,500x909,False,False,True,a6e7fc4ef68cb5cfe1baf85ebbd52bd83d2b22b48b6e18bd7b3f188876a2314a,6e78c279a6151a141c3abaf740159af961593b94a35517bf221b57fd4bff147e
BN (2572),BN,train,d873682040fd48b5347a03842d626e96731faca91d5b80a408e84c52555d47d3,30a2d7539fb3ebfcfc1cc840dbfb68f3bba87471786dce2bc4568916de000bd6,f6e59ea0191fdfe85c055852d71776a3dcc598941cce826cb1523789238c4c4b,500x667,500x667,False,False,True,83d2247cbbe680e39c847973525ddb5bc50cb8b47d49436435bfa7a6ad224353,80e1de10b0ad78d535909e70d2ae5915cec4694252234b315820edc135bbb107
BN (2573),BN,train,9682bfc05356b604e3d0ef2c2fa18b6cc724737ebc9b2a3826446843b22ef821,298cb1db307b285ac5833d7dd266056b6651c8c90a7de6591fe4d520edd61858,83d152e3647c0945d9d8011b82352981f0ccbe9320cc6bba62eb4522f9d104c1,434x909,434x909,False,False,True,7899fd2b724f745d9aee86893a012f1f3f03332c06f9ff99875cba0ad7fdb20e,76be50afd1d1cc3a4e62c773f6730836838e17ce896551b01ac89531a34d5f49
BN (2574),BN,train,d7eb740afc3f699f6325b59690575f36f16f53bf1c2d203643adc221d8b6b628,d9106123a694bd4901fe69c65e8c88ae619fff8d3f621be0597e6bca00bae3e8,4297cbfa874afa5e521563d953e3ca116b3e6de9afc455d287909818b6ee4102,500x800,500x800,False,False,True,ebc472e5aa214573d249e185cfbc3da1109a152328c5c78484b496c0c9769aca,e9d5b74ddaa2ae18fdbaea7c2d1e8e1d87405b0347bfd641aab73987dec0705c
BN (2575),BN,train,219c616baa15f7bff6d4fdcead69c3a7d4ecf11b5c09ad84f3392b43cb8d989a,8580d033a7cd58df34646f138d2efbec5660372e041ca3e4a1c41828aca34005,d46570f8e66ae7496fd0259dd4257a56fe59ec2b18af7e9846ef917132a423d9,500x750,500x750,False,False,True,c489b9082d90b078a4734d27456596a78707640f6f0847fd956d3b250cfe74a8,ac5cd836d1898dc1dfde38a0eaf7666d2a5c1f90ad8b9d6caa608a1be70610fd
BN (2576),BN,train,598357e0b00209cb72fda4f2e7c4136ac13891883cc11d525d95cb753e22c15a,d92e8c6dab6ca66e0c22ff5e1d389941460739d69bc52df08d5414d17aa91f40,1030fe88c91e3e7f32b9c48752df37729c21950b0578da0c8582dee64f7154cb,500x889,500x889,False,False,True,5b18b4a4c2cd94271563e8fa9b86c9170dbc3d54b3139d9470288d29e043ddd5,81292a0c951c64f7fe3c3e84359b06e77463db0913b1d37723a23ca50b5ae667
BN (2577),BN,train,60d326c00671a5352d4e699ab9a3f9e9b275d54745844627af2787b1fe2b03ba,a6e62b7b67c747efab26498bff47a5b3af179bbf7e4311388fda30c001766cb9,82c43ed84d24c4da02e757708e84cf4a474e75074c1ad5a774ec44e69a22802a,500x750,500x750,False,False,True,18d925bc26fbb0e30269cac4c8025cbd03d679e316067361679c6a7bd9ff2394,bb5a0a065b11bf699427e9375eee23474e3fd35f69647efd872899ef5b962de7
BN (2578),BN,test,9113cb45fa40258c9ebd967f95cbca863f10e2626894af452b01becfa8385a99,0da9ad3e74028b854924b797c06770d079420b9731c6eb078c08fc6cf3699da2,7fa3f57272a96c69e4726a8886091e0a98ab7574edf13ba31182a1ea64a0c1c4,333x499,333x499,False,False,True,e49d23a4a4577aced31b72b62ccbfb4dbd947aa361835b1c3b68f0ee3fa683d6,1944be15228876e02a5c96eda32c9e07a663ea6a0c2308206e9f84c80e335e3c
BN (2579),BN,train,179c1239e92524a14ff7c6c232805a90e4d9a3a6659de7d6a89745d0dba2993c,d28f3524278679c3f265731947eee101e15e80c385ca665477368362023e57f5,6b25b50a171c779f1a86a076693b7a2f141b04a9b37040b6a701cd31b0e6ec9f,500x749,500x749,False,False,True,9604ff9b1b32846f1a133ee40314a73926c5f251a8e37e1a5bbab2c39d761ca6,f7a400e1a4795df908ce08319400cf0134284f485bbccfc0b97d5e346313af52
BN (2580),BN,train,a35203a6729f4a96070eae6cd3fdcc54e621b6dd26c62ebf7ea00eb7df84ffa1,19840d5bb8719120d9020070fdde16cef742fa216dd12cb4d82543af18970917,cf0bed3c9d574398cb8c8d49ffbe63547d973d7e23403b931dc01ec575afca15,404x750,404x750,False,False,True,596bc80e44e402fc993b200093db8c74907be39c91e80843370a2f312d6d6459,c71130b3380ba237bba0540dafadc5113db39d5859ebfde9d33e927d1caa645b
BN (2581),BN,train,b8efb47ed6794a962a85cb9f21fe85687070783551359d17a68f747aa37bebf5,576ce575ffcf940a8e66993c4533e014b3ee53a27eacc35b241ef0a8382ce805,dfc284109fa6b263764a51b3b55332f2e1045854e76f9657118ceeb521c9ab58,410x750,410x750,False,False,True,f7faa8d9818ab1c62f1483ac549055f58e9faab15e0e5300c32ec712bcae5da6,7f392f45d1f2d594a906587364cf528427f3a0722b19746cc6b75571817a404d
BN (2582),BN,train,e6d2397b85daba4d24029468b476211e80c33bc0f96816650867f2277f1be224,c8c7f0d7f78bd514d48b807b8973aa3b84c74559a1772de7900027605da44e1d,728db0d16b3e1c4e86efa4e59027739e92a8ff59e2e6ddb3dff8c670c6910775,500x751,500x751,False,False,True,8fc0148540c972f43088ea98775100cb63c39af6a77013d542b29669cd15ba68,2ac1e64c478d84e205d9565743d5d380d13c30919b4a899feecf7afa463bd8d9
BN (2583),BN,train,e1dd607519f0c9cae1baa969a8e0803e47b149d4accfde2e542ed4bc91253079,a4cf8f8206ecfc1862c97c6a167bda55973354b553e904514e451ca289f9235f,a23d969633f5f0d5a7b45e6dea819c7eb642597dd60fee4461bf2ab20ef21d9c,500x750,500x750,False,False,True,905f6b1ac3307303f50a88d8e6f585e0fea9c7bac0acd5f92c565ee64b15c515,819c157b1ba62db2b42c3dd697c0478b3049424686970548e7be9471dea5f1fd
BN (2584),BN,train,fe0ba4de4bcd486de7f888de4fd989645d17e8ef7f93bddadb4aaee9cea2acac,03e6bcfdf2a018478bc5bdb367a19dcbd26ef46967654b8fb88d7dfd42954734,e861cb44e042ab9c2c4f1c50ec1b4e46563d18d9cd56b148d6c2533efb466385,500x671,500x671,False,False,True,d5856cffe8c2c31b31a0f2bebbfee8463552cc1695fef128292ad72001e4db96,898c2811faa737f79a693b67ddac9e420ce41c51efd6c3f906f909437ac3da5c
BN (2585),BN,train,589b36d695754570eedad477e1698baf0eaaae6ec6328e724d17e78df49e6877,098a79669dc893fad658c68c03ed6b27d9feb8a27a144856457b606a2315a3d7,c7a872d9a8074a69f35920b9929a836471c21900d8cd48db3b447a2c9fc0f2bd,500x750,500x750,False,False,True,ced7e582a4dbff0ea82072cd57a248cf016c06136c17aa1a0c77cca6a57c52e4,a512d760639fde4812f8c5a749d2bb9ad9afb4fc6f094a132658f450cf1c03d2
BN (2586),BN,test,a3a2111b45587023327455b485a21a43b8fc17e76792cef6e877564992c1a7e1,05f3f24a63f08a10de651843a2c04891f6698dca4f36b27bc828c423639d7e7a,8029dc20d469ed90de1a0feb3a08dee65e29d66fd03c7c68d283d4694c06ee8e,500x753,500x753,False,False,True,7b3252d86ec1a5120df852ae01d8a211ecac51393bd14f386c5328706aaa331a,2a64be89488a84b2bd5edf97bc328cf1091e8406be22a171572125463e4ccf1a
BN (2587),BN,train,39eb5d55370092f5fe257eb8b1ec4455e1463dcf62c7e83b843096f9f5b50539,bf782a91f4ff15f5c6ea8dcd19b55cb6010e120371e8950c7d3551b5928ed8d5,784256bd08178eafb72040340c4d460c20e417c1580a53629e9f549a36bc83e0,432x574,432x574,False,False,True,a4f5e7b379f69ecb4a6082fce4639c869a1efade5fdc0d590cc802e644cef53f,b1089249b9e0a035254b48d9532965efedb4c344d5698802114b994ba0be58e4
BN (2588),BN,train,131ee948deb8a0eddc2562180f6800d3e3e0a546f0f21be01ba23e96e9629935,8d6932fca28dca0c020a9001a48f43510dd71014c4c26cafcc0a3b946428326d,ca03d2f7ce9fb7c6540fca15e68d7c3cf9bb121202c0cf0122f856866e9b4137,333x500,333x500,False,False,True,4a9f823dd5fc5bd1e32d7751dab2759ad2c5c4d5b9ff98953b2897cba54aab1e,6858e34fd95839a7265f3e725f4640fd5e370e1f338fc3b766bd2e2436ab6984
BN (2589),BN,train,cc0ef985c67a2a3c8d090bc8f07279033fe11384c600336180f5f5b57ef7b683,5cac756bc2ea589df6953aab8ef063cf6dc06cd95015829a98ed95eaeb4b0580,6bbf8ab11a55ec3d9bc9f5923d8aa50249489c057eee27f10436d9d8cd879a1e,398x600,398x600,False,False,True,545d75e1ed357577e4556727b926062ffad53675e333e843044424ebc5c87e06,40d6e9186944140dd562d3fa9161ccf8b8013babbf5465accb3dcd517d97352d
BN (2590),BN,train,d4b9eb56c96cc0af9d432bb1191b57f4b0f9447105201745b14207312ed090b6,bda23e90f1faaf5cecad13344d73a99c53c767eba98206a6f79e1fec337ee3f4,a4c298e3698131db371aa33444c2d53e8edee5b738e576024ad42a2770a2af39,500x750,500x750,False,False,True,4c4d86518e954e03257f07f8bc2fcfc9a326c19724be16feea5af386681d8478,2825405661a78ac7fbe31cbc08e164444e4a150a00981289fe062a8d6522f6f0
BN (2591),BN,train,ab6f0cf97db31b70f1ee6426a84147782eaa4a34b1ce60f0a5b448d182119072,98c181fe9715cfc81a47791c43fb43dc8060ccc533ea510f154930714f0804c7,0853ca835c4df40daa5e5ba998aa676e85a31af8affb87b2d1a20bc70e1276b5,500x776,500x776,False,False,True,eab587a7f01d4c636d48617a94d1aa7f74118fa91338f8629274bf86b033a9d9,766651e9437048e766567d1f5045fd412969b1477a112dbd62d77e4c7cfb0cb7
BN (2592),BN,train,315cc61c15cb6b545cbcb51aa1d8d4d5b0e7e2f112f95adf5f817f9078476b27,842247b5e28497584b59ccaaf88f433e7b09825797f6d2844483e7d374d14fae,d84deb1bc1cbb5c5453a2663b4a66f75792722d76344ce5034378ab4a372fe85,500x1006,500x1006,False,False,True,a37bd4720e527360b7b42edb8daff8e7391462f9bb95153a4ad7fc120c43a526,0979f3869b7d3bbf8c1cdef1d6e56c519c48c128e09ff55f2a1dc909c4bd998d
BN (2593),BN,test,7a51181ce7c2c82903ec7207e2b4b07fe8b6dd4766378f5588dee4a81f4b3518,41782ccf0808a7aef5d93c101ad9b476bc797af3f81aade2b44c0db7b7de3d9b,546607dc1a7d4dd032c6783ce9628e6e8004126dda4584052d7c89c7ab6cac8f,500x1000,500x1000,False,False,True,8b8435f2dc80c4b98ad45d2f96cce4facf9f048465f28bf70e677b0bb72d7fa9,b4a3498aeb71c997ac033fc263985e55befc20a67d1b43ac9c438e912532d817
BN (2594),BN,test,5058f45eefb2192a9ead2d739f7318be074297ec4ebcbcfe20ccf773bee4d573,11872c2490d72fec141f83890f29af420eec9d83efc900adf560c77e6aa11426,d2ebcee0938268abb1dfaeed26e22b0a42a4b9a4787f30d95cb06a2e81c222b6,456x802,456x802,False,False,True,a5a158856aaaad804320e32e9cc563ead4388dcbd86e332445371421466621b5,2f219bb7c7617f77253bd6f9de9709aa4dc8a31bd02b0cde798a7310330a1b80
BN (2595),BN,train,8d0e4062f3d6efe368c88566fcb3a86f5709cce3efde009d9d7d68628084d711,7932626e8079ad7d262a67ddd60e243fde1c97fe2fee1940875a14e7d7377b2b,d96e9776d7b6ff7709e3ef7001bdcb7f046277f877d040bddbd818d0c75fbed4,500x800,500x800,False,False,True,ba6a0019eb01f2a0a4d22269651977b0f8045e7b141f72fb912e6b4e1766aab5,fb05659c71d1687f34537705fa82a616902878d7581020aa5d8cc3161608630b
BN (2596),BN,train,ccc54235497c4cac883ca1e3d7644dad25ae97914d4899a52812f5b21ac30c83,b623a7209da94b58909363c75dcc6476731bce501434c91612d8e2d108d03f68,88ef2f7cdfd286d34890c81ed87b3b8bd6967603c960fa52a8855ebd1c288822,500x747,500x747,False,False,True,980ce343997229a434a106b494e59e6050c30006bf6101bbd9e77838b20dc477,c7cf95765a002378b259f1afc66edd026d76a3f5f2b3d5b05702ee794a9534fc
BN (2597),BN,train,117f59e13c8d6cda7f4ac92699070d995fad69602bbbe35d7e00918fcfa1a20d,72fc55d8edb3d680373caa92f620fbb8c440b4f090d46136b5afe3cbc3c461cd,dc2185154e41784ccc563e3ae483bfb7edd5adc86f03a1e20569c27128e2c9fd,680x443,680x443,False,False,True,6991bc50b80e47d0e09987d4be232733d0142c46e5e6a6cdf5a4b753447e2cbe,8b7bd5ebbf0e47a1929a0666dceaf487f0dee6c13be1d75c5b1b14a427ca11f7
BN (2598),BN,train,945d1386a4a30b418bc9b73ce6d14f34af1d08c36b30d53f0a712e786ea3101c,1ab7ca29b31456e1662753f327ebc3b1b7b633423b7f7d44046d51a5f6e7e865,78a3385c543af717ed407b6d5e763426cdcd51ae933390d259aeec2973b817ca,500x722,500x722,False,False,True,e86bc91a9e7b75f75a9951619eddb5237d579ff1d92358b0e60bcfb0d8ffb218,68335f7e00afc661b1d6153c2e8c005648e0542dfb4dc9f638bce3f7c46f25b2
BN (2599),BN,train,a7419e115661c40628ee36b178e5a055fee8ad9a90925d81d69bb4e17b99192e,9c2e7051942a1a6c6bc38e3bf5b9b55f987a358cd3e2ca6258054d0f4e2dc119,ffecd583c75cbdc2fb544964f4d33a0600fe6ec42979ff4229dcd3058e1f6a44,500x750,500x750,False,False,True,b3da4bd317af1e4a8812e48ac46d4ffc8af266baf533ef454e7b8f4c057388c1,06b0901d267a79ee0ed1bdc1a50e4a44c73c2f9cc994dda58f4f045c1579eb6d
BN (2600),BN,train,eaaf2f6ccd15ca9bbbfd4db37904ac441c18226d9fcd30dd212bc2649e93ce5a,d22b3f079b8bf9a02ee8e160b9df09dc9e5e8b5fcab98ce8a92b4eba87cc6ed4,0a752d2f43aa49df4264216b273fd1b92eab8be2a2386f7569f0f0f7910e0c87,332x500,332x500,False,False,True,d1c92dfd54530ed7d4a2ff9c7c8c935b9f5a4032fa6263119294e37ea5f65877,a09d184cdf940582d11d602475c2880e133a0f05d9ccddca068861a0f5782cc8
BN (2601),BN,train,364f202125506bd8abc062d2b5b47e035a800fc747b8521a2d0eddb6dbfa8a0b,3f9b7c766047275100f6bc14421e2d1e8c297ef1abd919acf7c094333fa03901,70cc3cde6f8170f6bc9efd883d6d94879641b2f2d3ce7d211f975c21bd3bf389,500x500,500x500,False,False,True,826a26b7edea3df1de4da417e1c94e5904aa9e511fb6ee4a3d6c867a448d5051,835a48f4781a7bf6480673645bec29748a991beb1af6815d420f104a3069c07c
BN (2602),BN,train,5b592ec3b7d02e14da51b8c7c59704b5bd35a95a570774c05a857ff0e6558cc7,d1eed2fcc7b2ff9795fed239cf209935cadbf947fc720ed2b1a059c7e77d8223,1320295bf7e729f7e9ef753760dec3b2f953449b1c186a7fb829fe8deb4963e5,344x500,344x500,False,False,True,1b377f2fb74c990a35e9bb4faca7b87011776a57c06defd28e5a7a8c485c1c4d,11425cbff1959819dfc75b78baeadac285a588e7809aa467f56d201ac5da94fe
BN (2603),BN,train,b3ed6de1c3d14a0a24dc68f14dd5f60821c7bd3be777ccbbde46fba5f473983b,69bc01061bd77044d7acb5158e787c5fa8504f4176d3b646cdcbb85cce7a1e09,3314c6f8115151e06ea99f18285adf45433e38cd776f14a0504b12acdb0f651d,500x830,500x830,False,False,True,2141cb49f074c848614ec6316124e7cef7289838804b28a7a3ad8ea2b009cdfc,b1fd7f3dd6a92361f04c04463e5681a91b82594aba27e23617e482b9d8e6078e
BN (2604),BN,test,32360468d587faf4d4073b5a6b45a5c4b0229e4efb94b319ae18100f61a05f19,c0b1facb0a8e7c1aa5372f1c6dc88b991a3ee29ad434dc2c7eff71d77891730a,20145c8f1fff37ff2cc7ae7a9a92127addfe1803cad406bd54398a7ed19ff738,500x753,500x753,False,False,True,08cfb8538663a337d1f8505c85ce8f7dc42ffb97932176ce086665dbc78e8ef3,67f52eedc802df4f40e919b2dcb4125ce5157f929e1d14e8b06849904ee1181f
BN (2605),BN,train,9bf11f2af5ab6d0e60f3fc9f185a8bb6cc3ff7229b416a243411663d50fdc36c,21c389f0a999571bf811ad6ea3780bacb289ada96270497b2264753ad78c33e4,32e7728a5d8ffabe4d3640a5a568709f4d2fb473326af34eee5923cecc0960c8,422x724,422x724,False,False,True,60dcdb9bd5e659f99b6cb0a3e2cd985cb9f860bbd7d936bb6816dcdaa2cc0cdf,5e59b0ebc24e5126bc4ff7c10404e7092591a030821c37a9d30857084cde863e
BN (2606),BN,train,c119f62fabb6f3ba57099d0b6ff38cb665c2fdecd7937cb887e824b89b1ab55a,2640ee99ab4b5c6ea23fd6b975ab9a4ef031e1d0850cb6ff63c43f0c2dd0714c,28b1105694d2a3c0771929b60dd6962669b5c5b43ee61e29611e1b492c2253d8,500x750,500x750,False,False,True,5c29032273704749f0b8594e7c4a5bcfb36df45d4b774de1ecec5b6b179ce19d,fc782eac3eac81b897a41ab868a607bad9e944e6c44494a9575f8b82b5e7094d
BN (2607),BN,train,b041164fc8db5c0ab15907218dc27abae584c81720407ff8ac3d8b6195d96e6a,787793ecbe714e4916000f565f5144a98a1fcf13a460f6b8c36572223b2b3e5f,392cd777b3c0aa4269d686fb328b7b654b9a573d59146b157845537b85917e1e,500x750,500x750,False,False,True,773035aaf8d5da8573feb644c4439497456d0391660ee1c19c3a70f0e70be5a6,02273b961794953ee1e4bb2271e9f299a3cfe68e4e22759e2d255e52e3498166
BN (2608),BN,train,47a747ffe6b8598ba94702364665aa26f9e44a504fbc2e4348ba15768f919439,54457fe440d159c04ea7ab0075219c6267e19c387322b845ccb1363677ccdf42,a516555f085515731a2a701f0c02bda6e046dc47549581611dd688aeb188c40c,500x667,500x667,False,False,True,c6f3b140b88377713ec7c7c4c17d733c7c269a08469c4049a070f1502f083499,dbf14f0cb6839293944f18acbeaa8559e916ecee62891646a52e09b276e498dd
